benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(16, 16, 16, 10)",triton,32,"(4, 4, 32)",0.0293684,0.3537
matmul,"(16, 16, 16, 10)",triton,32,"(4, 4, 64)",0.018074,0.5747
matmul,"(16, 16, 16, 10)",triton,32,"(4, 4, 128)",0.0146513,0.7089
matmul,"(16, 16, 16, 10)",triton,32,"(4, 8, 8)",0.0150633,0.6895
matmul,"(16, 16, 16, 10)",triton,32,"(4, 8, 16)",0.0220961,0.4701
matmul,"(16, 16, 16, 10)",triton,32,"(4, 8, 32)",0.0145361,0.7145
matmul,"(16, 16, 16, 10)",triton,32,"(4, 8, 64)",0.0146757,0.7077
matmul,"(16, 16, 16, 10)",triton,32,"(4, 16, 8)",0.017639,0.5888
matmul,"(16, 16, 16, 10)",triton,32,"(4, 16, 16)",0.0145112,0.7158
matmul,"(16, 16, 16, 10)",triton,32,"(4, 16, 32)",0.051053,0.2034
matmul,"(16, 16, 16, 10)",triton,32,"(4, 16, 64)",0.0150829,0.6886
matmul,"(16, 16, 16, 10)",triton,32,"(4, 32, 8)",0.0162027,0.641
matmul,"(16, 16, 16, 10)",triton,32,"(4, 32, 16)",0.0260705,0.3984
matmul,"(16, 16, 16, 10)",triton,32,"(4, 32, 32)",0.0144067,0.721
matmul,"(16, 16, 16, 10)",triton,32,"(4, 32, 64)",0.0141295,0.7351
matmul,"(16, 16, 16, 10)",triton,32,"(4, 64, 8)",0.0157262,0.6605
matmul,"(16, 16, 16, 10)",triton,32,"(4, 64, 16)",0.0338707,0.3067
matmul,"(16, 16, 16, 10)",triton,32,"(4, 64, 32)",0.0188617,0.5507
matmul,"(16, 16, 16, 10)",triton,32,"(4, 64, 64)",0.014228,0.73
matmul,"(16, 16, 16, 10)",triton,32,"(8, 4, 8)",0.0265248,0.3916
matmul,"(16, 16, 16, 10)",triton,32,"(8, 4, 16)",0.0160172,0.6485
matmul,"(16, 16, 16, 10)",triton,32,"(8, 4, 32)",0.0256962,0.4042
matmul,"(16, 16, 16, 10)",triton,32,"(8, 4, 64)",0.0143743,0.7226
matmul,"(16, 16, 16, 10)",triton,32,"(8, 8, 8)",0.0427352,0.243
matmul,"(16, 16, 16, 10)",triton,32,"(8, 8, 16)",0.0291771,0.356
matmul,"(16, 16, 16, 10)",triton,32,"(8, 8, 32)",0.022046,0.4711
matmul,"(16, 16, 16, 10)",triton,32,"(8, 8, 64)",0.0264681,0.3924
matmul,"(16, 16, 16, 10)",triton,32,"(8, 8, 128)",0.0149073,0.6968
matmul,"(16, 16, 16, 10)",triton,32,"(8, 16, 8)",0.0140558,0.739
matmul,"(16, 16, 16, 10)",triton,32,"(8, 16, 16)",0.022713,0.4573
matmul,"(16, 16, 16, 10)",triton,32,"(8, 16, 32)",0.0185885,0.5588
matmul,"(16, 16, 16, 10)",triton,32,"(8, 16, 64)",0.01793,0.5793
matmul,"(16, 16, 16, 10)",triton,32,"(8, 32, 8)",0.0141749,0.7328
matmul,"(16, 16, 16, 10)",triton,32,"(8, 32, 16)",0.0389105,0.2669
matmul,"(16, 16, 16, 10)",triton,32,"(8, 32, 32)",0.023602,0.4401
matmul,"(16, 16, 16, 10)",triton,32,"(8, 32, 64)",0.0170915,0.6077
matmul,"(16, 16, 16, 10)",triton,32,"(8, 64, 8)",0.0158797,0.6541
matmul,"(16, 16, 16, 10)",triton,32,"(8, 64, 16)",0.0159048,0.6531
matmul,"(16, 16, 16, 10)",triton,32,"(8, 64, 32)",0.0304337,0.3413
matmul,"(16, 16, 16, 10)",triton,32,"(8, 64, 64)",0.0227408,0.4567
matmul,"(16, 16, 16, 10)",triton,32,"(16, 4, 8)",0.0144661,0.718
matmul,"(16, 16, 16, 10)",triton,32,"(16, 4, 16)",0.0268889,0.3863
matmul,"(16, 16, 16, 10)",triton,32,"(16, 4, 32)",0.0148682,0.6986
matmul,"(16, 16, 16, 10)",triton,32,"(16, 4, 64)",0.0225519,0.4606
matmul,"(16, 16, 16, 10)",triton,32,"(16, 8, 8)",0.0148421,0.6998
matmul,"(16, 16, 16, 10)",triton,32,"(16, 8, 16)",0.0272383,0.3813
matmul,"(16, 16, 16, 10)",triton,32,"(16, 8, 32)",0.0143226,0.7252
matmul,"(16, 16, 16, 10)",triton,32,"(16, 8, 64)",0.0150073,0.6921
matmul,"(16, 16, 16, 10)",triton,32,"(16, 16, 8)",0.00251646,4.1275
matmul,"(16, 16, 16, 10)",triton,32,"(16, 16, 16)",0.00246357,4.2161
matmul,"(16, 16, 16, 10)",triton,32,"(16, 16, 32)",0.00170406,6.0953
matmul,"(16, 16, 16, 10)",triton,32,"(16, 16, 64)",0.00252353,4.1159
matmul,"(16, 16, 16, 10)",triton,32,"(16, 16, 128)",0.00256755,4.0454
matmul,"(16, 16, 16, 10)",triton,32,"(16, 32, 8)",0.00248378,4.1818
matmul,"(16, 16, 16, 10)",triton,32,"(16, 32, 16)",0.00250448,4.1472
matmul,"(16, 16, 16, 10)",triton,32,"(16, 32, 32)",0.00196785,5.2782
matmul,"(16, 16, 16, 10)",triton,32,"(16, 32, 64)",0.00170027,6.1089
matmul,"(16, 16, 16, 10)",triton,32,"(16, 64, 8)",0.00181305,5.7289
