benchmark,shape,method,thread,parameter,time(s),speedup
resize,"(32, 256, 1, 100)",triton,1,"(16,)",0.140632,0.8099
resize,"(32, 256, 1, 100)",triton,1,"(32,)",0.151889,0.7499
resize,"(32, 256, 1, 100)",triton,4,"(4,)",0.0353363,3.2234
resize,"(32, 256, 1, 100)",triton,4,"(8,)",0.0393993,2.891
resize,"(32, 256, 1, 100)",triton,4,"(16,)",0.0398074,2.8613
resize,"(32, 256, 1, 100)",triton,4,"(32,)",0.0429153,2.6541
resize,"(32, 256, 1, 100)",triton,8,"(4,)",0.0213988,5.3228
resize,"(32, 256, 1, 100)",triton,8,"(8,)",0.0235892,4.8286
resize,"(32, 256, 1, 100)",triton,8,"(16,)",0.0237357,4.7988
resize,"(32, 256, 1, 100)",triton,8,"(32,)",0.0253566,4.492
resize,"(64, 32, 1, 100)",triton,1,"(4,)",0.0339501,0.9477
resize,"(64, 32, 1, 100)",triton,1,"(8,)",0.0385041,0.8356
resize,"(64, 32, 1, 100)",triton,1,"(16,)",0.0387267,0.8308
resize,"(64, 32, 1, 100)",triton,1,"(32,)",0.0416791,0.772
resize,"(64, 32, 1, 100)",triton,4,"(4,)",0.0130822,2.4595
resize,"(64, 32, 1, 100)",triton,4,"(8,)",0.0143806,2.2374
resize,"(64, 32, 1, 100)",triton,4,"(16,)",0.0144501,2.2266
resize,"(64, 32, 1, 100)",triton,4,"(32,)",0.0151656,2.1216
resize,"(64, 32, 1, 100)",triton,8,"(4,)",0.0100723,3.1944
resize,"(64, 32, 1, 100)",triton,8,"(8,)",0.0107261,2.9997
resize,"(64, 32, 1, 100)",triton,8,"(16,)",0.0108797,2.9574
resize,"(64, 32, 1, 100)",triton,8,"(32,)",0.0111174,2.8941
resize,"(64, 64, 1, 100)",triton,1,"(4,)",0.063379,0.9405
resize,"(64, 64, 1, 100)",triton,1,"(8,)",0.0717073,0.8313
resize,"(64, 64, 1, 100)",triton,1,"(16,)",0.072829,0.8185
resize,"(64, 64, 1, 100)",triton,1,"(32,)",0.0785038,0.7593
resize,"(64, 64, 1, 100)",triton,4,"(4,)",0.0207119,2.8781
resize,"(64, 64, 1, 100)",triton,4,"(8,)",0.022615,2.6359
resize,"(64, 64, 1, 100)",triton,4,"(16,)",0.0229287,2.5998
resize,"(64, 64, 1, 100)",triton,4,"(32,)",0.0242536,2.4578
resize,"(64, 64, 1, 100)",triton,8,"(4,)",0.0139103,4.2854
resize,"(64, 64, 1, 100)",triton,8,"(8,)",0.0150952,3.949
resize,"(64, 64, 1, 100)",triton,8,"(16,)",0.0152268,3.9149
resize,"(64, 64, 1, 100)",triton,8,"(32,)",0.0162396,3.6707
resize,"(64, 128, 1, 100)",triton,1,"(4,)",0.122321,0.9353
resize,"(64, 128, 1, 100)",triton,1,"(8,)",0.138956,0.8233
resize,"(64, 128, 1, 100)",triton,1,"(16,)",0.141541,0.8083
resize,"(64, 128, 1, 100)",triton,1,"(32,)",0.152306,0.7512
resize,"(64, 128, 1, 100)",triton,4,"(4,)",0.0350017,3.2686
resize,"(64, 128, 1, 100)",triton,4,"(8,)",0.0396083,2.8885
resize,"(64, 128, 1, 100)",triton,4,"(16,)",0.0399968,2.8604
resize,"(64, 128, 1, 100)",triton,4,"(32,)",0.0431332,2.6524
resize,"(64, 128, 1, 100)",triton,8,"(4,)",0.0212886,5.3741
resize,"(64, 128, 1, 100)",triton,8,"(8,)",0.0235908,4.8496
resize,"(64, 128, 1, 100)",triton,8,"(16,)",0.0236482,4.8379
resize,"(64, 128, 1, 100)",triton,8,"(32,)",0.0252476,4.5314
resize,"(64, 256, 1, 100)",triton,1,"(4,)",0.239904,0.931
resize,"(64, 256, 1, 100)",triton,1,"(8,)",0.273377,0.817
resize,"(64, 256, 1, 100)",triton,1,"(16,)",0.277412,0.8051
resize,"(64, 256, 1, 100)",triton,1,"(32,)",0.299485,0.7458
