benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(32, 32, 32, 10)",triton,4,"(8, 16, 32)",0.0127339,1.8878
matmul,"(32, 32, 32, 10)",triton,4,"(8, 32, 4)",0.0127309,1.8883
matmul,"(32, 32, 32, 10)",triton,4,"(8, 32, 8)",0.0129596,1.8549
matmul,"(32, 32, 32, 10)",triton,4,"(8, 32, 16)",0.0124252,1.9347
matmul,"(32, 32, 32, 10)",triton,4,"(8, 32, 32)",0.0160318,1.4995
matmul,"(32, 32, 32, 10)",triton,4,"(16, 4, 4)",0.0138171,1.7398
matmul,"(32, 32, 32, 10)",triton,4,"(16, 4, 8)",0.0130359,1.8441
matmul,"(32, 32, 32, 10)",triton,4,"(16, 4, 16)",0.0237909,1.0104
matmul,"(32, 32, 32, 10)",triton,4,"(16, 4, 32)",0.0130151,1.847
matmul,"(32, 32, 32, 10)",triton,4,"(16, 8, 4)",0.0127471,1.8859
matmul,"(32, 32, 32, 10)",triton,4,"(16, 8, 8)",0.0123285,1.9499
matmul,"(32, 32, 32, 10)",triton,4,"(16, 8, 16)",0.0126804,1.8958
matmul,"(32, 32, 32, 10)",triton,4,"(16, 8, 32)",0.0151297,1.5889
matmul,"(32, 32, 32, 10)",triton,4,"(16, 16, 4)",0.012956,1.8555
matmul,"(32, 32, 32, 10)",triton,4,"(16, 16, 8)",0.0129242,1.86
matmul,"(32, 32, 32, 10)",triton,4,"(16, 16, 16)",0.0129985,1.8494
matmul,"(32, 32, 32, 10)",triton,4,"(16, 16, 32)",0.0130253,1.8456
matmul,"(32, 32, 32, 10)",triton,4,"(16, 32, 4)",0.0125328,1.9181
matmul,"(32, 32, 32, 10)",triton,4,"(16, 32, 8)",0.0129936,1.8501
matmul,"(32, 32, 32, 10)",triton,4,"(16, 32, 16)",0.0126247,1.9042
matmul,"(32, 32, 32, 10)",triton,4,"(16, 32, 32)",0.0127198,1.8899
matmul,"(32, 32, 32, 10)",triton,4,"(32, 4, 4)",0.0262382,0.9162
matmul,"(32, 32, 32, 10)",triton,4,"(32, 4, 8)",0.0128241,1.8745
matmul,"(32, 32, 32, 10)",triton,4,"(32, 4, 16)",0.0128819,1.8661
matmul,"(32, 32, 32, 10)",triton,4,"(32, 4, 32)",0.013577,1.7706
matmul,"(32, 32, 32, 10)",triton,4,"(32, 8, 4)",0.0127301,1.8884
matmul,"(32, 32, 32, 10)",triton,4,"(32, 8, 8)",0.0128776,1.8668
matmul,"(32, 32, 32, 10)",triton,4,"(32, 8, 16)",0.0147203,1.6331
matmul,"(32, 32, 32, 10)",triton,4,"(32, 8, 32)",0.0124505,1.9308
matmul,"(32, 32, 32, 10)",triton,4,"(32, 16, 4)",0.0140703,1.7085
matmul,"(32, 32, 32, 10)",triton,4,"(32, 16, 8)",0.0118676,2.0256
matmul,"(32, 32, 32, 10)",triton,4,"(32, 16, 16)",0.0117919,2.0386
matmul,"(32, 32, 32, 10)",triton,4,"(32, 16, 32)",0.0126936,1.8938
matmul,"(32, 32, 32, 10)",triton,4,"(32, 32, 4)",0.00259683,9.2572
matmul,"(32, 32, 32, 10)",triton,4,"(32, 32, 8)",0.00258251,9.3085
matmul,"(32, 32, 32, 10)",triton,4,"(32, 32, 16)",0.00184469,13.0317
matmul,"(32, 32, 32, 10)",triton,4,"(32, 32, 32)",0.00168308,14.283
matmul,"(32, 32, 32, 10)",triton,8,"(4, 4, 4)",0.0133803,1.7966
matmul,"(32, 32, 32, 10)",triton,8,"(4, 4, 8)",0.0131663,1.8258
matmul,"(32, 32, 32, 10)",triton,8,"(4, 4, 16)",0.0127927,1.8791
matmul,"(32, 32, 32, 10)",triton,8,"(4, 4, 32)",0.0239126,1.0053
matmul,"(32, 32, 32, 10)",triton,8,"(4, 8, 4)",0.0132207,1.8183
matmul,"(32, 32, 32, 10)",triton,8,"(4, 8, 8)",0.0132786,1.8104
matmul,"(32, 32, 32, 10)",triton,8,"(4, 8, 16)",0.0128877,1.8653
matmul,"(32, 32, 32, 10)",triton,8,"(4, 8, 32)",0.0161709,1.4866
matmul,"(32, 32, 32, 10)",triton,8,"(4, 16, 4)",0.014792,1.6252
matmul,"(32, 32, 32, 10)",triton,8,"(4, 16, 8)",0.0132387,1.8158
matmul,"(32, 32, 32, 10)",triton,8,"(4, 16, 16)",0.0141983,1.6931
